"","x"
"1",52.1615684264698
"2",95.1804045628936
"3",69.7518194579079
"4",85.7615501861502
"5",56.6644952332226
"6",77.9945074886587
"7",76.8298757376699
"8",58.9367052232239
"9",80.156765003561
"10",85.6762365197581
"11",58.5282825895965
"12",85.7483766923748
"13",66.5541111223306
"14",65.7331789191709
"15",64.6249282466025
"16",43.0203465045347
"17",76.9964553924183
"18",79.0238704539413
"19",81.174831825862
"20",83.4292509442695
"21",61.3991315599904
"22",47.3267298490034
"23",50.2799994627617
"24",87.2453588309806
"25",66.5337808389301
"26",88.286230876075
"27",72.8920093786449
"28",61.5913613060793
"29",71.5394313014898
"30",75.1748082915765
"31",80.6832283779515
"32",98.1075050268777
"33",76.2499683094372
"34",61.2860343199301
"35",73.1821068740368
"36",76.9356414011304
"37",65.6605228067833
"38",89.0552260368616
"39",66.5829304765436
"40",83.4198160365646
"41",38.3394677489789
"42",87.0706739633594
"43",55.1594667115473
"44",90.1363615299393
"45",65.2334815120969
"46",81.7112585137796
"47",57.7982230709786
"48",70.8680963582589
"49",64.1144646554805
"50",86.8400736646759
"51",66.0973480563155
"52",72.6698171497047
"53",78.9617293738472
"54",44.4385180538152
"55",72.9780625493368
"56",46.1478408087921
"57",55.9131572145734
"58",96.5747849559155
"59",80.4273462190561
"60",64.6041587395784
"61",87.4634844381702
"62",71.2802366289612
"63",101.523485508283
"64",69.5900915345467
"65",68.1321404766717
"66",72.2475999334362
"67",86.1078976347734
"68",100.385561241274
"69",53.9599949289201
"70",70.8366612460534
"71",71.7269906451649
"72",52.6193702047848
"73",47.4980490483221
"74",45.8969838135846
"75",75.9082838509177
"76",58.6486277984573
"77",57.548533154643
"78",78.350373692463
"79",95.804565130261
"80",85.5042413083647
"81",60.3511178373226
"82",89.9024406199594
"83",53.1949543241974
"84",77.185175857564
"85",65.2336196628652
"86",92.7614106591839
"87",97.2160615025324
"88",68.6983404559242
"89",55.4591926066622
"90",81.0263992839041
"91",113.607780859901
"92",78.8874305470341
"93",90.2441098945458
"94",91.5856228627304
"95",67.7538816014912
"96",105.563468908326
"97",81.0627986690746
"98",76.2089623363843
"99",80.5758958674568
"100",80.9940512824324
"101",70.9156151955581
"102",62.8905630067521
"103",74.5628059206568
"104",72.4381344637139
"105",66.0561119236486
"106",54.679371857031
"107",83.1406292755069
"108",89.376559193191
"109",50.7734301265837
"110",53.4125942242265
"111",40.2375646955639
"112",41.0974335466518
"113",107.684466733426
"114",79.8253588634969
"115",63.5301990279183
"116",83.3551743194285
"117",70.9452235389829
"118",76.1600474160986
"119",57.3832781120864
"120",81.1618861806433
"121",89.1504480054936
"122",93.8922659313623
"123",65.5170308555358
"124",86.2393653506231
"125",83.1123193412765
"126",71.391355029991
"127",95.0266120678321
"128",34.8694702955269
"129",56.0664654616448
"130",53.3846560667976
"131",76.7329520045884
"132",73.7168751749919
"133",79.5221391810859
"134",61.6777586367431
"135",60.5648231754355
"136",108.570292165146
"137",90.0842923467201
"138",50.5805498491852
"139",90.2428504345449
"140",74.0579395442344
"141",72.496335475329
"142",87.9278866289207
"143",66.7291159957664
"144",44.4109970207821
"145",63.6183988516163
"146",82.6820287100786
"147",71.4811237622002
"148",60.9962095571375
"149",87.8412298235433
"150",61.1541914904326
"151",74.7691028527372
"152",104.678300710168
"153",76.2335779046704
"154",94.6213567519028
"155",67.879092163574
"156",58.2233427672232
"157",71.9644583911092
"158",73.5901708474668
"159",89.616290413237
"160",35.7857584783538
"161",60.571413497939
"162",89.5518436165337
"163",79.4713551273555
"164",72.8973292158865
"165",70.0896299300322
"166",68.0996378978911
"167",77.8828767384746
"168",74.7934694956906
"169",68.6484755573215
"170",80.6567084851012
"171",66.4505503464679
"172",82.5879336113645
"173",63.4258667365645
"174",80.4229647046869
"175",84.5177288315638
"176",78.503494969928
"177",65.721213130518
"178",56.3086661970795
"179",71.9071675328364
"180",60.5616248418145
"181",83.4540431545459
"182",82.2796676207033
"183",73.5330822728382
"184",60.5137288719564
"185",67.611087848165
"186",63.7887160546436
"187",81.690241024336
"188",59.4288083325555
"189",87.3003655517178
"190",71.8509534858986
"191",92.9808187862229
"192",70.9901412934352
"193",74.5514739430294
"194",56.1354520128078
"195",107.22083372461
